Id|Name|NameEn|NameAz|NameRu|Notes|ShapeLeng|ShapeLength|ShapeArea
1|Bakı İR|Baku Economic Region|Bakı iqtisadi rayonu|Бакинский экономический район|1. Bakı iqtisadi rayonu (Bakı şəhəri)|6.6467787686|6.64677876860052|0.232907478214029
10|Mərkəzi Aran İR|Central Aran Economic Region|Mərkəzi Aran iqtisadi rayonu|Центрально-Аранский экономический район|10. Mərkəzi Aran iqtisadi rayonu (Mingəçevir şəhəri‚ Ağdaş‚ Göyçay‚ Kürdəmir‚ Ucar‚ Yevlax və Zərdab rayonları)|6.46843111225|6.46843111224743|0.732545817032352
11|Mil–Muğan İR|Mil-Mughan Economic Region|Mil–Muğan iqtisadi rayonu|Миль-Муганский экономический район|11. Mil–Muğan iqtisadi rayonu (Beyləqan‚ İmişli‚ Saatlı və Sabirabad rayonları)|4.73803908295|4.73803908294703|0.60070937524386
12|Şəki–Zaqatala İR|Shaki-Zagatala Economic Region|Şəki–Zaqatala iqtisadi rayonu|Шеки-Загатальский экономический район|12. Şəki–Zaqatala iqtisadi rayonu (Balakən‚ Qax‚ Qəbələ‚ Oğuz‚ Şəki və Zaqatala rayonları)|7.40411611771|7.40411611770801|0.940826550864151
13|Şərqi Zəngəzur İR|East Zangezur Economic Region|Şərqi Zəngəzur iqtisadi rayonu|Восточно-Зангезурский экономический район|13. Şərqi Zəngəzur iqtisadi rayonu (Cəbrayıl‚ Kəlbəcər‚ Qubadlı‚ Laçın və Zəngilan rayonları)|8.65687960893|8.65687960892697|0.735594700272703
14|Şirvan–Salyan İR|Shirvan-Salyan Economic Region|Şirvan–Salyan iqtisadi rayonu|Ширван-Сальянский экономический район|14. Şirvan–Salyan iqtisadi rayonu (Şirvan şəhəri‚ Biləsuvar‚ Hacıqabul‚ Neftçala və Salyan rayonları)|7.29244445988|7.29244445988427|0.697723776664424
2|Naxçıvan İR|Nakhchivan Economic Region|Naxçıvan iqtisadi rayonu|Нахичеванский экономический район|2. Naxçıvan iqtisadi rayonu (Naxçıvan şəhəri‚ Babək‚ Culfa‚ Kəngərli‚ Ordubad‚ Sədərək‚ Şahbuz və Şərur rayonları)|5.08737335263|5.08737335262883|0.563139929275187
3|Abşeron–Xızı İR|Absheron-Khizi Economic Region|Abşeron–Xızı iqtisadi rayonu|Абшерон-Хызынский экономический район|3. Abşeron–Xızı iqtisadi rayonu (Sumqayıt şəhəri‚ Abşeron və Xızı rayonları)|4.99950864067|4.99950864066624|0.405407265623943
4|Dağlıq Şirvan İR|Mountainous Shirvan Economic Region|Dağlıq Şirvan iqtisadi rayonu|Горно-Ширванский экономический район|4. Dağlıq Şirvan iqtisadi rayonu (Ağsu‚ İsmayıllı‚ Qobustan və Şamaxı rayonları)|4.66207188932|4.66207188932011|0.647286001087152
5|Gəncə–Daşkəsən İR|Ganja-Dashkasan Economic Region|Gəncə–Daşkəsən iqtisadi rayonu|Гянджа-Дашкесанский экономический район|5. Gəncə–Daşkəsən iqtisadi rayonu (Gəncə və Naftalan şəhərləri‚ Daşkəsən‚ Goranboy‚ Göygöl və Samux rayonları)|4.91183271962|4.91183271962158|0.560897184812536
6|Qarabağ İR|Karabakh Economic Region|Qarabağ iqtisadi rayonu|Карабахский экономический район|6. Qarabağ iqtisadi rayonu (Xankəndi şəhəri‚ Ağcabədi‚ Ağdam‚ Bərdə‚ Füzuli‚ Xocalı‚ Xocavənd‚ Şuşa və Tərtər rayonları)|6.22535545122|6.22535545121467|0.966708970642833
7|Qazax–Tovuz İR|Gazakh-Tovuz Economic Region|Qazax–Tovuz iqtisadi rayonu|Газах-Товузский экономический район|7. Qazax–Tovuz iqtisadi rayonu (Ağstafa‚ Gədəbəy‚ Qazax‚ Şəmkir və Tovuz rayonları)|6.52959704874|6.52959704874413|0.747534610965154
8|Quba–Xaçmaz İR|Guba-Khachmaz Economic Region|Quba–Xaçmaz iqtisadi rayonu|Губа-Хачмазский экономический район|8. Quba–Xaçmaz iqtisadi rayonu (Xaçmaz‚ Quba‚ Qusar‚ Siyəzən və Şabran rayonları)|4.32209227484|4.32209227483717|0.738878028694282
9|Lənkəran–Astara İR|Lankaran-Astara Economic Region|Lənkəran–Astara iqtisadi rayonu|Ленкорань-Астаринский экономический район|9. Lənkəran–Astara iqtisadi rayonu (Astara‚ Cəlilabad‚ Lerik‚ Lənkəran‚ Masallı və Yardımlı rayonları)|6.35041040191|6.35041040190842|0.602069772257688
